numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
83-0046-LPU23,EX-2023-79051851-   -APN-DCYC#MC,Contratación de un servicio de transporte terrestre para personas - Secretaria de Gestión Cultural.,Licitación Pública,07/08/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0047-CDI23,EX-2023-55409765-   -APN-DCYC#MC,Adquisición de Artículos para Limpieza de Indumentaria - DNEE,Contratación Directa,03/08/2023 16:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0047-LPU23,EX-2023-80413179-   -APN-DCYC#MC,Servicio de Refrigerios (Viandas y Bebidas) para la Secretaria de Gestión Cultural,Licitación Pública,15/08/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0048-LPR23,EX-2023-121897209-   -APN-DCYC#MC,Adquisición Materiales de Construcción en Seco - DGIMYS,Licitación Privada,13/11/2023 13:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0049-CDI23,EX-2023-59107018-   -APN-DCYC#MC,Adquisición de insumos de primeros auxilios para establecimientos del MC,Contratación Directa,04/08/2023 16:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0049-LPR22,EX-2022-111052982-   -APN-DCYC#MC,Servicio de Hospedaje y Comidas para el CCK,Licitación Privada,03/01/2023 13:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0049-LPR23,EX-2023-121943972-   -APN-DCYC#MC,Adquisición Materiales de Pintura,Licitación Privada,10/11/2023 11:00 Hrs.,En Apertura,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0049-LPU23,EX-2023-83809068-   -APN-DCYC#MC,Servicio de Reserva y Alojamiento - Juegos Culturales Evita - Mar del Plata y Santiago del Estero,Licitación Pública,16/08/2023 11:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0050-CDI23,EX-2023-59513535-   -APN-DCYC#MC,"Contratación Directa por Especialidad de ""Cristian Daniel Zarate"" - DNEE",Contratación Directa,28/06/2023 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0050-LPR23,EX-2023-71226434-   -APN-DCYC#MC,Adquisición de Armarios Ignífugos - SPC,Licitación Privada,09/11/2023 12:00 Hrs.,Fracasado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0050-LPU23,EX-2023-83868166-   -APN-DCYC#MC,"Servicio de Reserva y Alojamiento - ENCUENTRO BECARIOS, EL RITMO DE MI CALLE Y ENCUENTRO DE ORQUESTA",Licitación Pública,11/08/2023 14:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0051-CDI23,EX-2023-59942726-   -APN-DCYC#MC,Convenio con UTN - DTIYC,Contratación Directa,07/08/2023 16:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0051-LPU23,EX-2023-83880270-   -APN-DCYC#MC,Servicio de Catering - MINISTERIO DE CULTURA,Licitación Pública,17/08/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0052-CDI23,EX-2023-64187588-   -APN-DCYC#MC,"Contratación Directa por Especialidad de la Maestra ""Sonia Andrea Possetti"" - DNEE",Contratación Directa,29/06/2023 12:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0052-LPR23,EX-2023-127283705-   -APN-DCYC#MC,Servicio de Mantenimiento Preventivo para Ascensores Hidráulicos - Parque Tecnopolis,Licitación Privada,13/12/2023 15:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0052-LPU23,EX-2023-85792094-   -APN-DCYC#MC,Adquisición de insumos de refrigerio - CCK y CCB,Licitación Pública,25/08/2023 15:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0053-CDI23,EX-2023-64196071-   -APN-DCYC#MC,"Contratación Directa por Especialidad de la Maestra ""María Helena Suarez"" - DNEE",Contratación Directa,28/07/2023 10:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0053-LPR22,EX-2022-114782712-   -APN-DCYC#MC,"Servicio de control, limpieza y mantenimiento de los tanques de reserva y de bombeo del MCN",Licitación Privada,04/01/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0053-LPR23,EX-2023-127342169-   -APN-DCYC#MC,Adquisición Impresora Braille - DNEE SEGUNDO LLAMADO,Licitación Privada,27/11/2023 12:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0053-LPU23,EX-2023-87513919-   -APN-DCYC#MC,"Servicio de Higiene, Seguridad y Coordinación de Emergencias – Tecnópolis",Licitación Pública,06/09/2023 10:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0054-CDI23,EX-2023-64268227-   -APN-DCYC#MC,"Contratación Directa por Exclusividad del Material Orquestal de ""Barry Editorial Comercial Ind. SRL""",Contratación Directa,14/08/2023 14:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0054-LPU23,EX-2023-92620728-   -APN-DCYC#MC,Contratación de un Servicio de Mantenimiento y Recarga de Matafuegos - Parque Tecnópolis.,Licitación Pública,28/11/2023 16:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0055-CDI23,EX-2023-65253685-   -APN-DCYC#MC,Contratación Directa por Exclusividad - B&B INGENIERIA DE PATRICIA BELTRAMINI Y MAURO DI MEGLIO,Contratación Directa,01/08/2023 10:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0056-CDI23,EX-2023-65901043-   -APN-DCYC#MC,Contratación por especialidad de Vitale Héctor Facundo,Contratación Directa,29/06/2023 13:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0056-LPU23,EX-2023-96220336-   -APN-DCYC#MC,"Servicio de Seguridad Física para Sedes Administrativas, Institutos  Nacionales y Sedes CABA",Licitación Pública,17/11/2023 12:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0057-CDI23,EX-2023-66755965-   -APN-DCYC#MC,Convenio UNQUI 2023- Cursos Virtuales,Contratación Directa,07/07/2023 16:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0057-LPU23,EX-2023-98135239-   -APN-DCYC#MC,Servicio de traslado de obras de arte para la Secretaria de Patrimonio Cultural,Licitación Pública,11/10/2023 15:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0058-CDI23,EX-2023-69277172-   -APN-DCYC#MC,Contratación Directa por Especialidad FLACSO 2023 - CONABIP,Contratación Directa,06/07/2023 17:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0058-LPR22,EX-2022-131900261-   -APN-DCYC#MC,Servicio de Traducción y  Subtitulado - Subsecretaria de Gestión de Espacios y Proyectos Especiales.,Licitación Privada,09/02/2023 12:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0058-LPU23,EX-2023-102432397-   -APN-DCYC#MC,Servicio de Ambulancia con Unidad de Terapia Intensiva Móvil de Alta Complejidad - CCK,Licitación Pública,29/11/2023 12:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
