numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
23-0005-LPR23,EX-2023-35651710-   -APN-CGD#SGP,Provisión y colocación de artefactos lumínicos para la Casa de Gobierno.,Licitación Privada,18/05/2023 14:30 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPR24,EX-2024-72525353-   -APN-CGD#SGP,Adquisición de insumos informáticos y de red para la DG de Tec Informática y Telecomunicaciones SG,Licitación Privada,30/10/2024 11:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPR25,EX-2025-94259418-   -APN-CGD#SGP,Adquisición y Servicio de mantenimiento de extintores,Licitación Privada,16/10/2025 13:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPR26,EX-2026-24483696-   -APN-CGD#SGP,"Provisión de utensilios e insumos descartables, por un período de 6 meses para Casa de Gobierno.",Licitación Privada,24/04/2026 11:00 Hrs.,Pendiente Afectación,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPU23,EX-2023-10207390-   -APN-CGD#SGP,Adquisicion de Indumentaria para la Casa Militar,Licitación Pública,02/06/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPU24,EX-2024-52756727-   -APN-CGD#SGP,Adquisición de indumentaria distintiva para el personal de la Casa Militar.,Licitación Pública,27/08/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPU25,EX-2025-42628668-   -APN-CGD#SGP,Provisión de productos secos de almacén con destino a CASA DE GOBIERNO y RPO,Licitación Pública,05/08/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0005-LPU26,EX-2026-22195199-   -APN-CGD#SGP,"Mantenimiento preventivo, correctivo y riego de los espacios verdes de la R.P.O. y Casa de Gobierno",Licitación Pública,07/05/2026 12:00 Hrs.,Disponible Para Adjudicar,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-CDI23,EX-2023-16989916-   -APN-CGD#SGP,Convenio interadministrativo Tarjeta Corporativa Nación Prepaga entre la SGP y BNA.,Contratación Directa,17/03/2023 13:00 Hrs.,Disponible Para Adjudicar,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-CDI24,EX-2024-31150953-   -APN-CGD#SGP,Seguro Flota automotor,Contratación Directa,25/07/2024 15:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-CDI25,EX-2025-44835151-   -APN-CGD#SGP,Adquisición de las medallas premio Presidente de la Nación y premio Nación Argentina,Contratación Directa,30/06/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-LPR23,EX-2023-38440250-   -APN-CGD#SGP,Servicio de Provisión e instalación completa y complementos de vidrios en la Sec. General,Licitación Privada,02/08/2023 12:00 Hrs.,Fracasado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-LPR24,EX-2024-78474864-   -APN-CGD#SGP,Servicio de mantenimiento prev. y correctivo del sistema de pilonas hidráulicas para C. Rosada y RPO,Licitación Privada,22/10/2024 15:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-LPR25,EX-2025-95737794-   -APN-CGD#SGP,Adquisición de vajilla para Casa de Gobierno y la Residencia Presidencial de Olivos,Licitación Privada,18/11/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-LPU23,EX-2023-10217186-   -APN-CGD#SGP,ADQUISICION DE IMPRESORAS Y ESCÁNERES para la SECRETARÍA GENERAL de la PRESIDENCIA DE LA NACIÓN.,Licitación Pública,14/04/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
